OBJECTID,BdVal,PctNum,BdName,ElectNo,ElectPct,Requests,Returns,PercentReturned,Party,ELECTDATE,ELECTTTL,ELECTTL2,SHAPE__Area,SHAPE__Length
35,0583,583.0,OASIS,1389,0583,766,386,0.503916,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5461408.30859375,9514.56350888604
36,0089,89.0,CACTUS WREN,1389,0089,117,39,0.333333,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1849288.9765625,5735.18122308826
37,0767,767.0,SOLCITO,1389,0767,397,267,0.672544,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1877962.43359375,5813.64188478238
38,0210,210.0,DESERT HARBOR,1389,0210,1420,875,0.616197,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6655250.796875,11227.5158115737
39,0498,498.0,MAYBERRY,1389,0498,1419,1035,0.729386,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,14457162.8125,20116.9533923131
40,0755,755.0,SIERRA PASS,1389,0755,1515,1031,0.680528,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11752838.4570313,18723.2958917343
41,0753,753.0,SIERRA HILLS,1389,0753,1249,928,0.742994,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,25391042.6601563,28528.1925215895
42,0546,546.0,NEELY,1389,0546,217,113,0.520737,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1866673.5546875,5794.39746117938
43,0260,260.0,EMMETT,1389,0260,746,387,0.518766,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4638815.1875,10106.8873251485
44,0794,794.0,SUMMERSIDE,1389,0794,550,295,0.536363,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,18795600.3007813,23203.2508483231
45,0337,337.0,GREENWAY,1389,0337,986,566,0.574036,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5333411.9140625,11890.0327358016
46,0249,249.0,EASTRIDGE,1389,0249,924,444,0.480519,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,8998089.60546875,14930.317503827
47,0922,922.0,WINDMILL,1389,0922,511,313,0.612524,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1887395.0390625,5831.19876321056
48,0011,11.0,ALAMO,1389,0011,646,323,0.5,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3748679.31640625,7756.22282604278
49,0164,164.0,CORDONIZ,1389,0164,447,208,0.465324,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6694619.6484375,12141.0793275829
50,0509,509.0,MERCER,1389,0509,756,391,0.517195,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3738158.15625,7734.46529675837
51,0027,27.0,APOLLO,1389,0027,241,170,0.705394,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1876043.44921875,8837.36780783454
52,0240,240.0,DUBLIN,1389,0240,623,365,0.585874,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3729097.76953125,9666.54699839044
53,0073,73.0,BONANZA,1389,0073,732,573,0.782786,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5844688.4296875,10543.4120155823
54,0006,6.0,AGRITOPIA,1389,0006,800,399,0.49875,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2828921.2109375,8728.03505448905
55,0914,914.0,WILDFLOWER,1389,0914,862,456,0.529002,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10116621.5039063,14291.7158859152
56,0673,673.0,RANCHO MIRAGE,1389,0673,1053,500,0.474833,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5648344.3515625,9700.54217694578
57,0378,378.0,HOLLIS,1389,0378,615,331,0.538211,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3735980.69140625,9713.34301193268
58,0054,54.0,BEARDSLEY,1389,0054,1714,1104,0.644107,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10950475.1992188,15448.4088670866
59,0257,257.0,ELLSWORTH PARK,1389,0257,500,234,0.468,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3062924.87890625,7406.58047210356
60,0890,890.0,WENDY,1389,0890,429,256,0.596736,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1898368.546875,7149.51992022839
61,0487,487.0,MARBLE CREEK,1389,0487,40,14,0.35,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3776186.08984375,7764.018158403
62,0628,628.0,PECOS,1389,0628,899,653,0.726362,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2783893.19921875,7683.96819918274
63,0032,32.0,ARENA,1389,0032,79,55,0.696202,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9872138.12890625,15760.0744037132
64,0348,348.0,HAPPY TRAILS,1389,0348,412,299,0.725728,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2320609.02734375,6375.06781808491
65,0667,667.0,QUAIL RUN,1389,0667,966,590,0.610766,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2742045.97265625,7115.40671460371
66,0424,424.0,KOKOPELLI,1389,0424,1009,602,0.59663,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5225004.22265625,11494.9065917713
67,0754,754.0,SIERRA MADRE,1389,0754,1050,595,0.566666,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3714849.47265625,7709.57094165889
68,0233,233.0,DOVE,1389,0233,764,343,0.448952,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,15200910.1054688,15717.7907241895
69,0034,34.0,ARROWHEAD RANCH,1389,0034,656,384,0.585365,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1976392.91796875,5908.6218890256
70,0456,456.0,LOBO,1389,0456,1101,550,0.499545,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3728432.1328125,7725.0505082975
71,0411,411.0,JUNIPER,1389,0411,505,272,0.538613,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1829707.234375,5769.57533216313
72,0280,280.0,FENIMORE,1389,0280,2258,1255,0.555801,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,17064335.265625,20765.2376305154
73,0878,878.0,VISTA VERDE,1389,0878,188,128,0.680851,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,82874407.8945313,44205.0900687042
74,0834,834.0,TIERRA MADRE,1389,0834,1400,829,0.592142,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10751234.796875,16342.3971517231
75,0787,787.0,STARDUST,1389,0787,527,382,0.724857,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6445603.4765625,11537.4019962418
76,0056,56.0,BERYL,1389,0056,445,252,0.566292,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1852011.109375,5772.719641738
77,0172,172.0,COTTON LANE,1389,0172,792,501,0.632575,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,27398039.9921875,22445.2825359406
78,0534,534.0,MOON VALLEY,1389,0534,1063,705,0.663217,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6496051.203125,10447.1933251138
79,0235,235.0,DOVER,1389,0235,331,247,0.746223,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1569508.38671875,5296.03349323779
80,0647,647.0,PINTO,1389,0647,1102,734,0.666061,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5440350.890625,10682.2906048217
81,0168,168.0,CORRINE,1389,0168,1126,688,0.611012,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3744325.109375,7764.69036866376
82,0735,735.0,SARATOGA,1389,0735,751,575,0.765645,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2281642.65625,6409.90574944427
83,0372,372.0,HILLERY,1389,0372,918,584,0.636165,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3726255.640625,7693.76217447228
84,0845,845.0,TRADITIONS,1389,0845,1124,909,0.808718,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4045727.58203125,8318.7549948484
85,0927,927.0,WOODGLEN,1389,0927,699,388,0.555078,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6905690.48828125,13277.0605476507
86,0434,434.0,LAREDO,1389,0434,969,569,0.587203,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3881787.171875,8017.93670559665
87,0111,111.0,CARRIAGE LANE,1389,0111,667,363,0.544227,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4197116.16796875,11197.3005229834
88,0038,38.0,ASPEN,1389,0038,308,170,0.551948,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1984917.71875,6244.92656863793
89,0175,175.0,COUNTRY GABLES,1389,0175,335,186,0.555223,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2200266.578125,6377.30363643022
90,0624,624.0,PEACH TREE,1389,0624,1368,1000,0.730994,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7466610.51171875,11579.2077519176
91,0314,314.0,GILA BEND,1389,0314,124,70,0.564516,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1064681350.04297,224927.209112363
92,0118,118.0,CENTENNIAL,1389,0118,452,217,0.480088,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3722787.25390625,9646.73018634133
93,0078,78.0,BRONCO,1389,0078,1456,990,0.679945,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,14596705.7382813,15287.7990580415
94,0925,925.0,WOLF RUN,1389,0925,1619,1239,0.765287,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,10889490.6992188,17816.0291743457
95,0026,26.0,APACHE WELLS,1389,0026,1806,1248,0.691029,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11171172.5273438,15437.4040372475
96,0911,911.0,WIGWAM CREEK,1389,0911,935,552,0.590374,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5396383.05859375,14313.1071008614
97,0266,266.0,ESCALANTE,1389,0266,350,123,0.351428,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3702616.80078125,7677.3552091309
98,0165,165.0,CORDOVA,1389,0165,131,50,0.381679,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2334715.46484375,6768.69545605381
99,0017,17.0,ALTADENA,1389,0017,512,293,0.572265,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3508035.9375,7502.30958975723
100,0439,439.0,LASSEN,1389,0439,315,148,0.469841,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6730381.58984375,15562.7838904336
101,0302,302.0,GARDNER,1389,0302,590,310,0.525423,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5320095.26171875,11795.7572248626
102,0752,752.0,SHEFFIELD,1389,0752,118,70,0.59322,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4935434.9296875,11588.1069939011
103,0595,595.0,ORME,1389,0595,623,295,0.473515,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,8650259.51171875,11956.6352461246
104,0454,454.0,LISBON,1389,0454,1047,529,0.505253,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3744170.21484375,7738.83710701192
105,0155,155.0,CONCORD,1389,0155,437,255,0.583524,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1867562.56640625,5796.90158470975
106,0293,293.0,FRANKLIN,1389,0293,722,320,0.443213,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3618798.21484375,7501.89499406508
107,0222,222.0,DESERT VISTA,1389,0222,607,360,0.59308,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2598696.88671875,8122.74522476132
108,0550,550.0,NORTERRA,1389,0550,1299,714,0.549653,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,57659686.2265625,32616.7824931392
109,0336,336.0,GREENFIELD PARK,1389,0336,1726,940,0.544611,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7284002.2265625,11359.9988977211
110,0733,733.0,SANTAN,1389,0733,437,217,0.496567,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4884034.14453125,11961.4572979512
111,0590,590.0,ORANGE TREE,1389,0590,458,305,0.665938,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4594442.61328125,9636.25319881284
112,0897,897.0,WESTGREEN PARK,1389,0897,729,398,0.545953,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3178308.08203125,8719.89457062792
113,0541,541.0,MUMMY MOUNTAIN,1389,0541,978,634,0.648261,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5297067.34375,11705.0158049709
114,0795,795.0,SUMMERSTAR,1389,0795,555,452,0.814414,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2687893.33984375,7537.42298909282
115,0880,880.0,VOGEL,1389,0880,947,503,0.531151,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5606762.5546875,10846.0094932227
116,0852,852.0,TUCKEY,1389,0852,138,54,0.391304,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2305324.0234375,7117.6216910919
117,0467,467.0,LOOKOUT RIDGE,1389,0467,883,604,0.684031,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11492148.6523438,18447.7976568075
118,0018,18.0,ALVARADO,1389,0018,253,115,0.454545,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4500712.01171875,9117.46789587639
119,0640,640.0,PILGRIM,1389,0640,1489,947,0.635997,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6555527.78515625,11302.7462005478
120,0442,442.0,LAVEEN MEADOWS,1389,0442,269,132,0.490706,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4992543.0546875,9126.76790124747
121,0797,797.0,SUN CITY,1389,0797,1095,817,0.746118,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,5026034.39453125,13068.7413796702
122,0146,146.0,COLDWATER RIDGE,1389,0146,476,225,0.472689,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6159233.765625,10968.320327682
123,0091,91.0,CALAVAR,1389,0091,467,264,0.56531,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1495197.58984375,5672.36689070803
124,0623,623.0,PAYNE,1389,0623,340,190,0.558823,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3704193.30859375,7575.4183804252
125,0662,662.0,PRINCESS,1389,0662,669,426,0.636771,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9957599.21484375,13085.4975475625
126,0297,297.0,FRONTIER,1389,0297,1996,1086,0.544088,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9912432.80859375,17909.1559522368
127,0870,870.0,VERRADO,1389,0870,935,521,0.557219,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,11911878.03125,14470.3311862501
128,0933,933.0,YUKON,1389,0933,739,562,0.760487,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2717358.359375,7304.51256515998
129,0422,422.0,KLEINMAN,1389,0422,669,288,0.430493,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,6296697.47265625,11461.650262684
130,0077,77.0,BREWER,1389,0077,1054,610,0.578747,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7636795.44140625,12478.8876281277
131,0052,52.0,BARNEY,1389,0052,954,413,0.432914,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3656186.546875,7648.06399679983
132,0908,908.0,WICKENBURG,1389,0908,2089,1378,0.659645,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,1066978731.33984,183130.320473874
133,0709,709.0,ROTARY PARK,1389,0709,695,393,0.565467,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3701623.92578125,9559.57833410354
134,0770,770.0,SOSSAMAN,1389,0770,1855,951,0.512668,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,9007570.0859375,13043.9406058567
135,0335,335.0,GREENFIELD,1389,0335,205,82,0.4,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3772050.6875,7791.31909978302
136,0810,810.0,SUNLAND VILLAGE,1389,0810,2048,1165,0.568847,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,7328123.2421875,11471.2544152495
137,0138,138.0,CLIFFVIEW,1389,0138,400,272,0.68,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,2125892.21875,6755.14695121037
138,0533,533.0,MONTOYA,1389,0533,1673,889,0.53138,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,12041028.2890625,15470.2882389953
139,0183,183.0,CREIGHTON,1389,0183,358,153,0.427374,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,4581814.8828125,9544.7940311759
140,0284,284.0,FLOWER,1389,0284,881,528,0.599318,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,16066451.1914063,16156.9909117941
141,0299,299.0,GALVESTON,1389,0299,803,436,0.542963,REP,2022-11-08,MARICOPA COUNTY                                             ,NOV 8 2022 GENERAL ELECTION                                 ,3601161.8359375,7614.93179817802
